"number" "dsum" "count" "missing" "quant_error" "fname"
56 3576.89 5308 4260 0.00196682 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Charadrius.vociferus_BowenIsland_100m.tif"
57 3482.22 5308 4260 0.00168354 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Chen.caerulescens_BowenIsland_100m.tif"
58 4565.67 5308 4260 0.00102301 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Chordeiles.minor_BowenIsland_100m.tif"
59 4162.5 5308 4260 0.00227548 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Chroicocephalus.philadelphia_BowenIsland_100m.tif"
60 3299.94 5308 4260 0.00222380 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Circus.cyaneus_BowenIsland_100m.tif"
61 3226.9 5308 4260 0.000537347 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cistothorus.palustris_BowenIsland_100m.tif"
62 4640.36 5308 4260 0.00274585 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Clangula.hyemalis_BowenIsland_100m.tif"
63 4357.57 5308 4260 0.00124732 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Coccothraustes.vespertinus_BowenIsland_100m.tif"
64 4341.24 5308 4260 0.00291550 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Colaptes.auratus_BowenIsland_100m.tif"
65 4622.27 5308 4260 0.000779350 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Contopus.cooperi_BowenIsland_100m.tif"
66 3723.02 5308 4260 0.000924922 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Contopus.sordidulus_BowenIsland_100m.tif"
67 1635.29 5308 4260 0.00338255 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Corvus.brachyrhynchos_BowenIsland_100m.tif"
68 4585.41 5308 4260 0.00114024 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Corvus.caurinus_BowenIsland_100m.tif"
69 4800.7 5308 4260 0.00265904 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Corvus.corax_BowenIsland_100m.tif"
70 4899.61 5308 4260 0.00163190 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cyanocitta.stelleri_BowenIsland_100m.tif"
71 4353.95 5308 4260 0.00416223 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cygnus.buccinator_BowenIsland_100m.tif"
72 2961.98 5308 4260 0.00168395 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cygnus.columbianus_BowenIsland_100m.tif"
73 4860.19 5308 4260 0.00337332 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Cypseloides.niger_BowenIsland_100m.tif"
74 5035.09 5308 4260 0.0146762 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Dendragapus.fuliginosus_BowenIsland_100m.tif"
75 4409.22 5308 4260 0.00146799 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Dendroica.petechia_BowenIsland_100m.tif"
76 4956.33 5308 4260 0.00991502 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Dendroica.townsendi_BowenIsland_100m.tif"
77 4775.11 5308 4260 0.000804521 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Dryocopus.pileatus_BowenIsland_100m.tif"
78 1316.09 5303 4265 0.00297626 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Dumetella.carolinensis_BowenIsland_100m.tif"
79 5079.67 5308 4260 0.00835506 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Empidonax.difficilis_BowenIsland_100m.tif"
80 4789.49 5308 4260 0.00132963 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Empidonax.hammondii_BowenIsland_100m.tif"
81 4686.14 5308 4260 0.00108224 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Empidonax.traillii_BowenIsland_100m.tif"
82 3403.79 5308 4260 0.00412441 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Euphagus.cyanocephalus_BowenIsland_100m.tif"
83 4667.7 5308 4260 0.000318682 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Falco.columbarius_BowenIsland_100m.tif"
84 4852.83 5308 4260 0.000879193 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Falco.peregrinus_BowenIsland_100m.tif"
85 3488.33 5308 4260 0.00455395 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Falco.sparverius_BowenIsland_100m.tif"
86 3712.47 5308 4260 0.00211763 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Fulica.americana_BowenIsland_100m.tif"
87 3349.1 5308 4260 4.24399e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Gallinago.delicata_BowenIsland_100m.tif"
88 4168.0 5308 4260 0.00191115 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Gavia.immer_BowenIsland_100m.tif"
89 4766.68 5308 4260 0.00229865 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Gavia.pacifica_BowenIsland_100m.tif"
90 3636.67 5308 4260 0.00229140 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Gavia.stellata_BowenIsland_100m.tif"
91 4861.05 5308 4260 0.00123076 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Geothlypis.tolmiei_BowenIsland_100m.tif"
92 4150.98 5308 4260 0.00424256 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Geothlypis.trichas_BowenIsland_100m.tif"
93 4780.57 5308 4260 0.000621417 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Glaucidium.gnoma_BowenIsland_100m.tif"
94 2703.89 5308 4260 0.00257336 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Grus.canadensis_BowenIsland_100m.tif"
95 4382.02 5308 4260 0.000916213 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Haematopus.bachmani_BowenIsland_100m.tif"
96 4607.71 5308 4260 2.81125e-05 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Haliaeetus.leucocephalus_BowenIsland_100m.tif"
97 4442.79 5308 4260 0.000954809 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Hirundo.rustica_BowenIsland_100m.tif"
98 5048.45 5308 4260 0.00156522 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Histrionicus.histrionicus_BowenIsland_100m.tif"
99 3387.32 5308 4260 0.000304947 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Hydroprogne.caspia_BowenIsland_100m.tif"
100 1769.42 5308 4260 0.00453974 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Icterus.bullockii_BowenIsland_100m.tif"
101 5037.39 5308 4260 0.00357374 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Ixoreus.naevius_BowenIsland_100m.tif"
102 4733.58 5308 4260 0.000530928 "/home/jay/Programming_Projects/bowen.biodiversity.zonation/data/2024_12_11_SDM_100m_Bowen_Island/Bird_mask/Junco.hyemalis_BowenIsland_100m.tif"
